 lga_code, lga_name,year, homeless_f_0_9, at_risk_f_0_9, homeless_m_0_9, at_risk_m_0_9, homeless_f_10_19, at_risk_f_10_19, homeless_m_10_19, at_risk_m_10_19, homeless_f_20_29, at_risk_f_20_29, homeless_m_20_29, at_risk_m_20_29, homeless_f_30_39, at_risk_f_30_39, homeless_m_30_39, at_risk_m_30_39, homeless_f_40_49, at_risk_f_40_49, homeless_m_40_49, at_risk_m_40_49, homeless_f_50_59, at_risk_f_50_59, homeless_m_50_59, at_risk_m_50_59, homeless_f_60_plus, at_risk_f_60_plus, homeless_m_60_plus, at_risk_m_60_plus,unknown_f,unknown_m
16350,Penrith,2018,71,74,93,88,136,122,72,105,119,175,61,54,89,150,44,25,60,103,33,26,22,55,19,14,6,25,11,4,4,1
16380,Port Macquarie-Hastings,2018,59,79,78,88,73,71,68,74,77,66,44,22,43,57,24,10,34,62,31,18,19,25,19,14,8,16,7,7,2,3
16400,Port Stephens,2018,16,20,10,11,30,35,18,23,34,64,18,14,30,63,15,15,26,62,11,17,10,38,6,9,0,34,5,9,5,3
16490,Queanbeyan-Palerang Regional,2018,16,35,17,42,20,39,19,34,36,53,21,24,29,53,24,31,31,43,31,43,7,29,15,19,5,13,12,7,0,1
16550,Randwick,2018,13,20,11,30,33,45,13,36,26,32,26,22,11,37,9,16,20,29,17,22,9,27,17,17,0,16,0,9,2,2
16610,Richmond Valley,2018,28,46,30,51,30,45,18,37,32,41,11,17,22,42,9,5,9,18,10,8,7,11,7,4,0,8,0,0,8,4
16700,Ryde,2018,8,9,16,13,13,25,9,27,10,19,5,9,10,29,3,6,6,33,4,12,4,14,3,5,3,9,3,13,2,2
16900,Shellharbour,2018,18,27,23,26,43,45,20,30,37,48,7,24,24,44,14,7,18,24,4,3,13,12,0,3,0,11,3,0,2,7
16950,Shoalhaven,2018,44,31,54,32,62,64,30,52,82,70,41,26,60,64,51,24,45,49,47,25,20,15,28,21,6,15,7,9,3,5
17000,Singleton,2018,6,4,3,4,10,14,7,15,14,18,7,0,17,12,4,3,15,9,5,0,5,4,4,3,0,6,0,0,2,4
17040,Snowy Monaro Regional,2018,4,4,0,5,9,25,6,15,11,20,9,8,8,21,4,14,7,26,5,5,0,15,3,6,0,4,0,0,10,8
17080,Snowy Valleys,2018,0,0,9,6,7,13,7,11,6,20,6,0,10,15,4,0,3,13,8,0,4,8,0,0,0,3,0,0,6,8
17100,Strathfield,2018,4,0,6,6,12,5,3,4,9,7,4,0,5,6,3,0,7,3,0,0,0,4,0,3,0,0,0,0,6,10
17150,Sutherland Shire,2018,13,17,12,17,36,102,13,96,12,30,20,22,16,39,8,8,9,50,12,13,5,38,9,16,6,10,8,7,4,3
17200,Sydney,2018,57,38,36,54,94,87,64,71,133,132,146,73,110,133,224,74,114,135,293,151,66,83,171,131,30,77,92,93,3,1
17310,Tamworth Regional,2018,23,13,27,19,56,58,41,37,93,93,61,36,36,88,67,31,34,52,38,34,10,31,20,24,0,20,4,7,3,2
17350,Temora,2018,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
17400,Tenterfield,2018,9,10,4,4,5,0,4,0,8,5,0,3,6,8,0,3,0,5,0,0,0,0,0,0,0,0,0,0,12,10
17420,The Hills Shire,2018,0,14,5,14,15,42,6,36,9,13,8,11,5,21,0,0,3,16,0,3,0,5,0,0,4,9,0,3,5,5
17550,Tweed,2018,51,96,53,112,84,117,66,110,55,78,49,38,63,96,38,23,51,92,45,25,27,49,37,21,16,37,33,28,3,5
17620,Upper Hunter Shire,2018,0,0,0,0,0,4,5,0,9,9,3,0,10,7,3,0,0,7,3,0,0,0,0,0,0,0,0,0,11,9
17640,Upper Lachlan Shire,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
17650,Uralla,2018,0,3,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,11,9
17750,Wagga Wagga,2018,16,8,9,11,48,35,34,36,33,41,32,12,20,37,25,18,25,27,12,15,9,15,10,8,0,6,6,4,4,3
17850,Walcha,2018,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
17900,Walgett,2018,25,14,21,15,19,15,17,11,20,12,10,3,21,9,9,0,5,15,11,9,7,8,6,0,0,5,0,0,8,11
17950,Warren,2018,5,8,4,8,0,3,0,3,3,4,0,0,3,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,6
18020,Warrumbungle Shire,2018,3,7,6,9,8,8,5,10,8,9,4,4,8,10,5,6,4,9,7,0,0,5,0,0,0,3,0,0,4,10
18050,Waverley,2018,3,0,0,5,15,14,6,13,10,9,8,4,9,8,6,4,13,4,9,5,8,0,8,0,0,4,4,3,9,4
18100,Weddin,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
18200,Wentworth,2018,7,10,6,13,9,17,0,10,14,32,0,9,9,27,10,7,6,19,8,7,0,20,4,5,0,7,3,3,7,5
18250,Willoughby,2018,0,3,0,7,8,23,9,13,3,5,0,8,3,13,0,0,3,15,0,4,0,4,4,4,3,0,0,5,3,6
